frame,line,hc,hasIRQ,status,pc,opcode,cycles,accepted
0,17,145,0,0x00,0x007F,0xED,21,0
0,17,176,0,0x00,0x007F,0xED,21,0
0,17,176,0,0x00,0x007F,0xED,21,0
0,17,176,0,0x00,0x007F,0xED,21,0
0,17,176,0,0x00,0x007F,0xED,21,0
0,18,0,0,0x00,0x007F,0xED,21,0
0,18,31,0,0x00,0x007F,0xED,21,0
0,18,55,0,0x00,0x007F,0xED,21,0
0,18,78,0,0x00,0x007F,0xED,21,0
0,18,102,0,0x00,0x007F,0xED,21,0
0,18,125,0,0x00,0x007F,0xED,21,0
0,18,149,0,0x00,0x007F,0xED,21,0
0,18,176,0,0x00,0x007F,0xED,21,0
0,18,176,0,0x00,0x007F,0xED,21,0
0,18,176,0,0x00,0x007F,0xED,21,0
0,18,176,0,0x00,0x007F,0xED,21,0
0,19,0,0,0x00,0x007F,0xED,21,0
0,19,34,0,0x00,0x007F,0xED,21,0
0,19,58,0,0x00,0x007F,0xED,21,0
0,19,81,0,0x00,0x007F,0xED,21,0
0,19,105,0,0x00,0x007F,0xED,21,0
0,19,129,0,0x00,0x007F,0xED,21,0
0,19,152,0,0x00,0x007F,0xED,21,0
0,19,176,0,0x00,0x007F,0xED,21,0
0,19,175,0,0x00,0x007F,0xED,21,0
0,19,176,0,0x00,0x007F,0xED,21,0
0,19,176,0,0x00,0x007F,0xED,21,0
0,20,0,0,0x00,0x007F,0xED,21,0
0,20,38,0,0x00,0x007F,0xED,21,0
0,20,61,0,0x00,0x007F,0xED,21,0
0,20,85,0,0x00,0x007F,0xED,21,0
0,20,108,0,0x00,0x007F,0xED,21,0
0,20,132,0,0x00,0x007F,0xED,21,0
0,20,176,0,0x00,0x007F,0xED,21,0
0,20,176,0,0x00,0x007F,0xED,21,0
0,20,175,0,0x00,0x007F,0xED,21,0
0,20,176,0,0x00,0x007F,0xED,21,0
0,20,176,0,0x00,0x007F,0xED,21,0
0,21,17,0,0x00,0x007F,0xED,21,0
0,21,41,0,0x00,0x007F,0xED,21,0
0,21,65,0,0x00,0x007F,0xED,21,0
0,21,88,0,0x00,0x007F,0xED,21,0
0,21,112,0,0x00,0x007F,0xED,21,0
0,21,135,0,0x00,0x007F,0xED,21,0
0,21,176,0,0x00,0x007F,0xED,21,0
0,21,176,0,0x00,0x007F,0xED,21,0
0,21,175,0,0x00,0x007F,0xED,21,0
0,21,176,0,0x00,0x007F,0xED,21,0
0,21,176,0,0x00,0x007F,0xED,21,0
0,22,21,0,0x00,0x007F,0xED,21,0
0,22,44,0,0x00,0x007F,0xED,21,0
0,22,68,0,0x00,0x007F,0xED,21,0
0,22,92,0,0x00,0x007F,0xED,21,0
0,22,115,0,0x00,0x007F,0xED,21,0
0,22,139,0,0x00,0x007F,0xED,21,0
0,22,176,0,0x00,0x007F,0xED,21,0
0,22,176,0,0x00,0x007F,0xED,21,0
0,22,175,0,0x00,0x007F,0xED,21,0
0,22,176,0,0x00,0x007F,0xED,21,0
0,23,0,0,0x00,0x007F,0xED,21,0
0,23,24,0,0x00,0x007F,0xED,21,0
0,23,48,0,0x00,0x007F,0xED,21,0
0,23,71,0,0x00,0x007F,0xED,21,0
0,23,95,0,0x00,0x007F,0xED,21,0
0,23,119,0,0x00,0x007F,0xED,21,0
0,23,142,0,0x00,0x007F,0xED,21,0
0,23,176,0,0x00,0x007F,0xED,21,0
0,23,176,0,0x00,0x007F,0xED,21,0
0,23,176,0,0x00,0x007F,0xED,21,0
0,23,176,0,0x00,0x007F,0xED,21,0
0,24,0,0,0x00,0x007F,0xED,21,0
0,24,28,0,0x00,0x007F,0xED,21,0
0,24,51,0,0x00,0x007F,0xED,21,0
0,24,75,0,0x00,0x007F,0xED,21,0
0,24,98,0,0x00,0x007F,0xED,21,0
0,24,122,0,0x00,0x007F,0xED,21,0
0,24,145,0,0x00,0x007F,0xED,21,0
0,24,176,0,0x00,0x007F,0xED,21,0
0,24,176,0,0x00,0x007F,0xED,21,0
0,24,176,0,0x00,0x007F,0xED,21,0
0,24,176,0,0x00,0x007F,0xED,21,0
0,25,0,0,0x00,0x007F,0xED,21,0
0,25,31,0,0x00,0x007F,0xED,21,0
0,25,55,0,0x00,0x007F,0xED,21,0
0,25,78,0,0x00,0x007F,0xED,21,0
0,25,102,0,0x00,0x007F,0xED,21,0
0,25,125,0,0x00,0x007F,0xED,21,0
0,25,149,0,0x00,0x007F,0xED,21,0
0,25,176,0,0x00,0x007F,0xED,21,0
0,25,176,0,0x00,0x007F,0xED,21,0
0,25,176,0,0x00,0x007F,0xED,21,0
0,25,176,0,0x00,0x007F,0xED,21,0
0,26,0,0,0x00,0x007F,0xED,21,0
0,26,34,0,0x00,0x007F,0xED,21,0
0,26,58,0,0x00,0x007F,0xED,21,0
0,26,81,0,0x00,0x007F,0xED,21,0
0,26,105,0,0x00,0x007F,0xED,21,0
0,26,129,0,0x00,0x007F,0xED,21,0
0,26,152,0,0x00,0x007F,0xED,21,0
0,26,176,0,0x00,0x007F,0xED,21,0
0,26,175,0,0x00,0x007F,0xED,21,0
0,26,176,0,0x00,0x007F,0xED,21,0
0,26,176,0,0x00,0x007F,0xED,21,0
0,27,0,0,0x00,0x007F,0xED,21,0
0,27,38,0,0x00,0x007F,0xED,21,0
0,27,61,0,0x00,0x007F,0xED,21,0
0,27,85,0,0x00,0x007F,0xED,21,0
0,27,108,0,0x00,0x007F,0xED,21,0
0,27,132,0,0x00,0x007F,0xED,21,0
0,27,176,0,0x00,0x007F,0xED,21,0
0,27,176,0,0x00,0x007F,0xED,21,0
0,27,175,0,0x00,0x007F,0xED,21,0
0,27,176,0,0x00,0x007F,0xED,21,0
0,27,176,0,0x00,0x007F,0xED,21,0
0,28,17,0,0x00,0x007F,0xED,21,0
0,28,41,0,0x00,0x007F,0xED,21,0
0,28,65,0,0x00,0x007F,0xED,21,0
0,28,88,0,0x00,0x007F,0xED,21,0
0,28,112,0,0x00,0x007F,0xED,21,0
0,28,135,0,0x00,0x007F,0xED,21,0
0,28,176,0,0x00,0x007F,0xED,21,0
0,28,176,0,0x00,0x007F,0xED,21,0
0,28,175,0,0x00,0x007F,0xED,21,0
0,28,176,0,0x00,0x007F,0xED,21,0
0,28,176,0,0x00,0x007F,0xED,21,0
0,29,21,0,0x00,0x007F,0xED,21,0
0,29,44,0,0x00,0x007F,0xED,21,0
0,29,68,0,0x00,0x007F,0xED,21,0
0,29,92,0,0x00,0x007F,0xED,21,0
0,29,115,0,0x00,0x007F,0xED,21,0
0,29,139,0,0x00,0x007F,0xED,21,0
0,29,176,0,0x00,0x007F,0xED,21,0
0,29,176,0,0x00,0x007F,0xED,21,0
0,29,175,0,0x00,0x007F,0xED,21,0
0,29,176,0,0x00,0x007F,0xED,21,0
0,30,0,0,0x00,0x007F,0xED,21,0
0,30,24,0,0x00,0x007F,0xED,21,0
0,30,48,0,0x00,0x007F,0xED,21,0
0,30,71,0,0x00,0x007F,0xED,21,0
0,30,95,0,0x00,0x007F,0xED,21,0
0,30,119,0,0x00,0x007F,0xED,21,0
0,30,142,0,0x00,0x007F,0xED,21,0
0,30,176,0,0x00,0x007F,0xED,21,0
0,30,176,0,0x00,0x007F,0xED,21,0
0,30,176,0,0x00,0x007F,0xED,21,0
0,30,176,0,0x00,0x007F,0xED,21,0
0,31,0,0,0x00,0x007F,0xED,21,0
0,31,28,0,0x00,0x007F,0xED,21,0
